,Datetime,Text
63,2021-05-18 23:17:13+00:00,@JoeBiden @POTUS obviously has no clue about running a business much less the biggest business in the world! @POTUS45 must be just crushed. My heart breaks for him. #AmericaFirst #DonaldTrump @TheJerryBurke @newsmax https://t.co/lTuRMiLgIy
64,2021-05-18 23:16:20+00:00,"Predictions said 3 to 5 million Americans would die. Thanks to President Trump less than 600,000. 80 percent of seniors vaccinated and 60% of Americans. https://t.co/gNZsFCYpnw"
65,2021-05-18 23:16:18+00:00,@washingtonpost Republicans think Trump is Cool Beans.  What if they’re wrong?
66,2021-05-18 23:15:20+00:00,@SethAbramson Eric Trump is proof positive that the Trump gene pool is depleted.
67,2021-05-18 23:14:00+00:00,Trump would of been forgiven them loans and would of had the stock market booming🤦🏾‍♂️
68,2021-05-18 23:13:34+00:00,"Again, just imagine if Trump said this shit. @BretBaier @BillHemmer @marthamaccallum @SandraSmithFox https://t.co/McXx5MmDlS"
69,2021-05-18 23:12:28+00:00,@PFury67 @dr_capone @POTUS That is a pro trump tweet
70,2021-05-18 23:11:58+00:00,"@monte284729 @JoeBiden he was your president, and can still be referred to as Mr. President or President Trump.

But Joe Biden is your president."
71,2021-05-18 23:10:49+00:00,"BEATENED to DEATH on 
AMERICA'S CAPITOL steps.

McCarthy and TRUMP WATCHED and refused to
HELP. https://t.co/7iB07Oljbo"
72,2021-05-18 23:10:24+00:00,@ArkitektDFS @tedcruz Trump u!
73,2021-05-18 23:10:15+00:00,@sportsnetmurph I’d rather have trump come back than benning
74,2021-05-18 23:09:49+00:00,"McCarthy and TRUMP
Don't Back the BLUE.

McCarthy and TRUMP WATCHED the BLUE BEATENED TO DEATH AND DID NOTHING.

GUTLESS McCarthy WON'T MEET WITH THE MEN iN
BLUE WHO DEFENDED AGAINST THE CAPITOL ATTACK. https://t.co/7iB07Oljbo"
75,2021-05-18 23:05:41+00:00,"@GOPLeader You're a traitor &amp; need to be removed! You know Trump incited the Insurrection! Take a look at the video he played at the Ellipse! Hitler would be proud!
https://t.co/utf0oduSOM"
76,2021-05-18 23:05:25+00:00,@AmyKremer When will you stop being obsessed with Trump and his failure to win?
77,2021-05-18 23:04:43+00:00,"Liz Cheney and Adam Kinzinger attempted to replace this guy with a #racist

* under Trump's orders https://t.co/Gp6SVJL9FH"
78,2021-05-18 23:04:18+00:00,@AmyKremer Everyone else will move beyond Trump as soon on as the GOP stops saying that the election was stolen
79,2021-05-18 23:02:34+00:00,@DavidCornDC I wish all who support Trump would come to an end!
80,2021-05-18 23:02:06+00:00,Oh a Trump bikini.... This is going to be an awful charter #BelowDeckSailingYacht
81,2021-05-18 23:01:18+00:00,Trump really thought that putting three justices on the supreme court would secure him a second term because he figured they owed him &amp; would side with him in any elections disputes but when they didn't he attacked them
82,2021-05-18 23:01:18+00:00,"@GOPLeader January 6. We need to knock the nature of your conversation with trump, and why you still won’t speak to capitol police!"
83,2021-05-18 22:59:44+00:00,"@KatiePavlich How many hours do you work in a day? Don't you work as much or as less as you want to? The last three months of Trump, he had no public events scheduled, he shut Straight down until his last job task January 6, his  insurrection on the Capitol!"
84,2021-05-18 22:59:21+00:00,@cnnbrk Does anyone remember that Trump invited Israel’s Netanyahu to the White House before he was re-elected again because he was afraid he wouldn’t win. And he wanted Trumps help. What deal did Trump make with him?
85,2021-05-18 22:58:36+00:00,"Biden, Good for Russia, Bad for the US! #Trump #Trump2024 https://t.co/PZI0JdfYEt"
86,2021-05-18 22:57:54+00:00,"Never is no DIFFERENCE BETWEEN CORRUPT LOSER LIAR DONALD J TRUMP AND
CORRUPT LOSER MURDEROUS
NETANYAHU.
TRAITORS AND THIEVES. https://t.co/70yFqJODjI"
87,2021-05-18 22:57:42+00:00,"I wonder if @jaredkushner still thinks the @POTUS45 @realdonaldtrump administration’s, ahem, handling of the coronavirus pandemic ‘is a great success story’ that ‘needs to be told.’ https://t.co/UTzG9ejdVg"
88,2021-05-18 22:57:26+00:00,@RLHeinrichs @MattWolking Trump sure left a mess behind. No funding for infrastructure no funding for cyber security. He was such an abject failure
89,2021-05-18 22:56:50+00:00,"@BlackKnight10k @NotHoodlum Honestly they served their time. I have no issue.  These Jan 6 insurgents, seditionists, Gaetz and Trump.  They are the real criminals I’m concerned about"
90,2021-05-18 22:56:14+00:00,@GOP Oil stocks crashed under Trump.
91,2021-05-18 22:53:56+00:00,"@GOPLeader Straight from your desk, Live, in Color, requests granted. Now you backpacking to cover Trump's A$$, instead of the truth. https://t.co/K1sVO6jzsy"
92,2021-05-18 22:53:52+00:00,"Is it me but does Trump’s attempts to engage with society seem to be failing. His blog crashes after false election claims, he calls the horse that won the Kentucky derby a junkie, and he sees mother day as a flop but will be better when he becomes President. Is this sad or what?"
93,2021-05-18 22:53:46+00:00,"""All of his communications with the President of the United States Donald Trump were in there. Every communication, text message, email message.""

That’s the point, jackass. 🤣 https://t.co/0r5K3ETBLh"
94,2021-05-18 22:52:33+00:00,https://t.co/PAIFCttCME #BreakingNews  trump supporters may be narcissist.
95,2021-05-18 22:52:26+00:00,@EdgeCGroup @BrianPotato2 You mean when Trump was in charge your kidding me man
96,2021-05-18 22:52:07+00:00,@POTUS @POTUS44 I'm going blow up president donald j trump til he explodes sperm cum all in my mouth.
97,2021-05-18 22:51:24+00:00,@GOPLeader trump will toss you aside the first chance he gets. Your allegiance to a man over your oath to the constitution and the American people is unacceptable.!! Resign
98,2021-05-18 22:50:51+00:00,"Whether it's Scalise, McCarthy, McConnell, Jordan, Cruz, Graham, Greene, Hawley, Nunes, Rubio, Collins, Boebert, Stefanik or any other member of the Sedition Caucus; it is apparent that Trump and HIS party are more important than America.
#GOPDomesticTerrorists https://t.co/GJxKK9Pg5U"
99,2021-05-18 22:50:25+00:00,@DavidKlion We say no ask trump who has saving account  in China. he should know.
100,2021-05-18 22:50:21+00:00,@kmw374 @GOPLeader @SenatorTimScott @LindseyGrahamSC @LeaderMcConnell Republicans continue to be loyal to a losing Trump.
101,2021-05-18 22:49:55+00:00,@Alcahueta @DonaldJTrumpJr Trump cheating at golf.
102,2021-05-18 22:49:14+00:00,"@joanwalsh Have read any responses yet, but my son is on the spectrum &amp; he knows better. He abhors Trump &amp; Trump's supporters. This not a reason or excuse.  This about choices, these people made conscious decision to commit these crimes. They could've made another choice."
103,2021-05-18 22:48:57+00:00,"@NWPinPDX Andrew Guiliani looks like he could be Eric Trumps half brother,  doesn't he?"
104,2021-05-18 22:48:07+00:00,"@tedcruz This is a choice like I decided no to wear bras after 50 because it makes me feel comfortable.  Masks makes me feel safe, again MY CHOICE.  Now cultish are you and all the spineless republicans that continue to worship trump."
105,2021-05-18 22:47:53+00:00,"My daughter will only hear / read things from the Lesbian Lobby about Trump and his efforts. If I sent this to her she’d accuse me of hate, impugn the organization as liars, or try to get into an argument. Sadly, once these millennials believe something, that’s it. 🎤drop https://t.co/D3ygOkUgLY"
106,2021-05-18 22:47:46+00:00,@JamesTag5 @AugeForTrump It still proves he lied about not having anything to do with Russia. Collusion being “the Trump campaign and transition team had at least 272 known contacts and at least 38 known meetings with Russia-linked operatives.”  Russia helping Trump through Trump  social media.
107,2021-05-18 22:47:31+00:00,Right-Wing Extremist Groups Are Now Calling For Trump To Be Arrested And Executed https://t.co/wreKEcvN19
108,2021-05-18 22:47:13+00:00,We didnt act because Republicans (trump) wanted the insurrection. He wanted to over throw the vote. That’s why we didn’t act on the intelligence. Throw in some traitorous generals and a Supreme Court justices wife and there you have it. Jan 6. https://t.co/w0K20qVw8j
109,2021-05-18 22:46:37+00:00,@politvidchannel True. He's mismanaged his own inheritance and also he cheated Mary trump out of hers.
110,2021-05-18 22:45:43+00:00,"God 🙏 Please @POTUS keep the #JohnMcCain Family out of anything related to:     #diplomacy!

 As #meghanmccain Wishes You Ill &amp; #Freedom  As the 
#DeepState ala' #Trump's    

         #ArmyOfTheDead https://t.co/DjQrp0PLC6"
