,Datetime,Text
46,2021-12-29 05:31:09+00:00,"#ThanksUNESCO2021 for making us feel so proud. Our Durga Puja has made it to UNESCO's list of ""Intangible Cultural Heritage of Humanity"". #TheCityOfJoy #DurgaPuja #Kolkata https://t.co/ugPEm006Xi"
47,2021-12-29 04:49:12+00:00,"Unlike other dumbos, we bongs are not up in arms. Come, use Durga Puja in whatever way in the film you want. And we won't write any stupid pieces either 🤣🤭 🙉🙊🙈 https://t.co/KWGxoWYDor"
48,2021-12-28 19:51:10+00:00,"Not perfect but I tried my best ✌🏾
#Durga_Puja_2k19
Device: Nikon D5300📷 https://t.co/B7dP8ySEhh"
49,2021-12-28 17:48:19+00:00,@DrSoumyadeepB @AnantBhan @netshrink @AshishOnGround @sanjaynagral @khanamirmaroof @KaminiWalia Although being a bengali my eyes first went to Durga Puja dates and days.
50,2021-12-28 13:04:43+00:00,"Wrapped up a quick trip to the CITY OF BANNERS. Saw a whole lot of @MamataOfficial and her chamchas, so much that I need a detox now! 🤮
#tatti #tatti #tatti @MahuaMoitra
Also, she's taking credit for UNESCO's recent Durga Puja ICH announcement via those same Banners.
#shameful"
51,2021-12-28 12:27:24+00:00,"I know @Lolitachakra you’re British by birth but your heritage comes from #Bengal. Now that #DurgaPuja has been designated as part of world heritage by @UNESCO, I’d love to show it to you, @AdrianLester &amp; your family at @SDurgotsav in #Kolkata one day. #tuesdaymotivations https://t.co/Eh1bisibmi"
52,2021-12-28 07:44:36+00:00,Devi Durga is the emblem of strength and pride. #ThanksUNESCO2021 for recognising our #DurgaPuja #TheCityOfJoy #Kolkata https://t.co/3rIcLelzs9
53,2021-12-28 06:00:35+00:00,#TheCityOfJoy is famous for its art and culture. Beautiful dance and music lit up the atmosphere. #ThanksUNESCO2021 #DurgaPuja #Kolkata https://t.co/AYxpYgT8bT
54,2021-12-28 04:48:40+00:00,"Know how to celebrate durga puja , and what is the mean of puja by this divine #DeviBhagwat , by the grace of #AdiShakti . 
Subscribe now for more updates
👇👇👇
https://t.co/I6H4ZlIlIT https://t.co/0EqAkIzKNZ"
55,2021-12-28 00:44:26+00:00,Rod pur namaz nahi to puja bhi nahi Hanuman visarjan dashera durga puja bhi nahi shadi vivah kuch bhi nahi https://t.co/97CWXjlmeQ
56,2021-12-27 19:19:27+00:00,"@Jaganre10168971 @sreedharbhatm @sakshijoshii Aur namz agr 20 min*365 days to 7300 minutes huwa. 

Bro ye hmra desh h hm apne desh me durga puja eid nai mangenge to kahi aur thodi na ..hme ek dusare ke liye adjust krna sikhna cahiye..wo kisi ko mar nai rha tha padhke 5 min me chala jata. 

Kya hmne yahi sikha h life me?"
57,2021-12-27 19:17:31+00:00,"@Jaganre10168971 @sreedharbhatm @sakshijoshii 5 times namaz har koi nai padta bahr smjhe bhai.

Approx 3 time padh skta h ratme 8 baje kaun padega sadak pe 

Accha.. Durga puja
10 days 24 hr
240 hours 

Janmastmi 10 hours

Holi road pe 10 hours

Ganpati ji 5 days into 24 hrs

120 hours bs itna add kro approx 400 hours
1/2"
58,2021-12-27 19:15:27+00:00,"@Jaganre10168971 @sreedharbhatm @sakshijoshii Just ek chz smjhne ke liye.
Mai ye nai bol rha durga puja krna galt h hmra desh h hm apne desh apni mitti pe nai krnge to londan jayenge kya

Isliye agr koi chz santi se kr rha jisse kisi ko physical problm ni ho rhi to nai paresan krna chaiye 

Aur nmz 5 min padta chala jata wo"
59,2021-12-27 19:14:03+00:00,"@Jaganre10168971 @sreedharbhatm @sakshijoshii 5 times me se approx 3 time insan bahr padta hai sam me ya rat me apne ghr pe ata hai

3 times namaz approx 20 mins wo v agrwo daily kiya
365 days into 20 min 
365×20=7300mins

Durga puja
10 days into 24hours

240 hours
1 hr is =60mins

240 into 60 itna to ata hoga bhai apko

1/2"
60,2021-12-27 18:28:59+00:00,Bangladesh Durga Puja attacks: Death toll in communal violence rises to 5 https://t.co/ZP6A67JJ3C via @DNA Web Team
61,2021-12-27 18:28:19+00:00,durga puja: Bangladesh Durga Puja violence: Vandalism continues; minorities call for countrywide hunger strike - Times of India https://t.co/v2lmMybwU9
